Time,Count
2026-06-13 00:31:00,2623
2026-06-13 00:48:00,2335
2026-06-13 01:32:00,2278
2026-06-13 01:42:00,2433
2026-06-13 03:09:00,2300
2026-06-13 04:01:00,2285
2026-06-13 04:36:00,2316
2026-06-13 05:10:00,2271
2026-06-13 05:30:00,2278
2026-06-13 06:22:00,2374
2026-06-13 06:39:00,2543
2026-06-13 06:50:00,2286
2026-06-13 07:22:00,2287
2026-06-13 08:37:00,2280
2026-06-13 09:24:00,2307
2026-06-13 09:57:00,2414
2026-06-13 10:15:00,2276
2026-06-13 11:23:00,2259
2026-06-13 13:01:00,2456
2026-06-13 16:18:00,2296
2026-06-13 16:31:00,2392
2026-06-13 16:57:00,2407
2026-06-13 18:11:00,2263
2026-06-13 19:03:00,2278
2026-06-13 19:26:00,2278
2026-06-13 19:58:00,2271
2026-06-13 20:20:00,2301
2026-06-13 20:32:00,2276
2026-06-13 21:01:00,2286
2026-06-13 21:31:00,2237
2026-06-13 22:21:00,2240
2026-06-13 22:52:00,2283
