Event_ID,SoLEXS_Time,SoLEXS_Count,HEL1OS_Time,HEL1OS_Count,Difference_Minutes
1,2026-06-02 02:46:42,46.0,2026-06-02 02:43:00,10185,3.7
2,2026-06-02 04:44:58,737.0,2026-06-02 04:44:00,10484,0.97
3,2026-06-02 06:56:06,55.0,2026-06-02 06:58:00,4092,1.9
4,2026-06-02 10:01:20,375.0,2026-06-02 10:00:00,7699,1.33
5,2026-06-02 16:42:23,178.0,2026-06-02 16:42:00,18231,0.38
1,2026-06-03 01:28:20,853.0,2026-06-03 01:30:00,105041,1.67
2,2026-06-03 06:57:04,164.0,2026-06-03 06:57:00,159812,0.07
3,2026-06-03 11:24:42,3815.0,2026-06-03 11:25:00,87790,0.3
4,2026-06-03 15:34:44,54.0,2026-06-03 15:31:00,4206,3.73
5,2026-06-03 17:27:50,42.0,2026-06-03 17:25:00,2331,2.83
6,2026-06-03 19:25:04,41.0,2026-06-03 19:22:00,2402,3.07
7,2026-06-03 20:52:35,54.0,2026-06-03 20:51:00,2410,1.58
1,2026-06-05 14:58:27,95.0,2026-06-05 14:57:00,2287,1.45
2,2026-06-05 15:05:46,156.0,2026-06-05 15:08:00,2328,2.23
3,2026-06-05 22:20:03,41.0,2026-06-05 22:21:00,2449,0.95
4,2026-06-05 22:31:03,88.0,2026-06-05 22:36:00,2367,4.95
5,2026-06-05 23:06:41,78.0,2026-06-05 23:07:00,2339,0.32
1,2026-06-06 04:36:42,40.0,2026-06-06 04:35:00,2310,1.7
2,2026-06-06 05:00:29,50.0,2026-06-06 04:58:00,2267,2.48
3,2026-06-06 06:29:02,110.0,2026-06-06 06:28:00,2258,1.03
4,2026-06-06 06:41:34,52.0,2026-06-06 06:43:00,2558,1.43
5,2026-06-06 06:55:06,40.0,2026-06-06 06:59:00,2481,3.9
6,2026-06-06 13:42:14,125.0,2026-06-06 13:44:00,10345,1.77
7,2026-06-06 13:52:56,738.0,2026-06-06 13:55:00,9621,2.07
8,2026-06-06 14:04:03,1019.0,2026-06-06 14:06:00,4343,1.95
1,2026-06-07 04:16:27,41.0,2026-06-07 04:15:00,2333,1.45
2,2026-06-07 05:47:36,81.0,2026-06-07 05:48:00,2396,0.4
3,2026-06-07 06:44:34,49.0,2026-06-07 06:47:00,2359,2.43
4,2026-06-07 08:20:46,46.0,2026-06-07 08:25:00,2624,4.23
5,2026-06-07 15:50:09,41.0,2026-06-07 15:53:00,2512,2.85
6,2026-06-07 16:55:10,40.0,2026-06-07 16:59:00,2289,3.83
1,2026-06-08 02:43:00,130.0,2026-06-08 02:47:00,2887,4.0
2,2026-06-08 05:06:54,40.0,2026-06-08 05:08:00,3619,1.1
3,2026-06-08 05:17:00,49.0,2026-06-08 05:20:00,2367,3.0
1,2026-06-10 00:59:24,98.0,2026-06-10 00:57:00,2783,2.4
2,2026-06-10 23:45:56,157.0,2026-06-10 23:48:00,3895,2.07
1,2026-06-11 00:02:56,310.0,2026-06-11 00:02:00,3047,0.93
2,2026-06-11 08:28:09,507.0,2026-06-11 08:26:00,10883,2.15
1,2026-06-12 02:13:25,217.0,2026-06-12 02:12:00,2941,1.42
2,2026-06-12 02:16:52,133.0,2026-06-12 02:12:00,2941,4.87
3,2026-06-12 19:12:05,46.0,2026-06-12 19:16:00,2291,3.92
4,2026-06-12 19:16:45,57.0,2026-06-12 19:16:00,2291,0.75
1,2026-06-13 12:59:49,89.0,2026-06-13 13:01:00,2456,1.18
1,2026-06-14 09:01:56,43.0,2026-06-14 09:06:00,2360,4.07
1,2026-06-15 13:15:26,95.0,2026-06-15 13:30:00,2540,14.57
2,2026-06-15 18:51:19,91.0,2026-06-15 18:51:00,2322,0.32
